Gene,SV type, SV key
ENSMMUP00000048013.1,NA,NA
ENSMMUP00000023620.3,NA,NA
ENSMMUP00000058820.1,NA,NA
ENSMMUP00000044120.1,NA,NA
ENSMMUP00000014661.3,NA,NA
ENSMMUP00000051140.1,NA,NA
ENSMMUP00000027170.1,NA,NA
ENSMMUP00000058339.1,NA,NA
ENSMMUP00000052684.1,NA,NA
ENSMMUP00000016748.2,NA,NA
ENSMMUP00000024887.3,NA,NA
ENSMMUP00000026353.3,NA,NA
ENSMMUP00000012289.3,NA,NA
ENSMMUP00000058305.1,NA,NA
ENSMMUP00000013165.2,NA,NA
ENSMMUP00000011256.2,NA,NA
ENSMMUP00000055483.1,NA,NA
ENSMMUP00000052898.1,NA,NA
ENSMMUP00000007533.3,NA,NA
ENSMMUP00000013667.3,NA,NA
ENSMMUP00000036569.1,NA,NA
ENSMMUP00000046989.1,NA,NA
ENSMMUP00000054012.1,NA,NA
ENSMMUP00000004894.2,NA,NA
ENSMMUP00000060908.1,NA,NA
ENSMMUP00000018533.3,NA,NA
ENSMMUP00000013566.3,NA,NA
ENSMMUP00000055144.1,NA,NA
ENSMMUP00000031881.2,NA,NA
ENSMMUP00000016439.3,NA,NA
ENSMMUP00000034227.1,NA,NA
ENSMMUP00000044025.1,NA,NA
ENSMMUP00000044626.1,NA,NA
ENSMMUP00000056879.1,NA,NA
ENSMMUP00000046468.1,NA,NA
ENSMMUP00000011935.2,NA,NA
ENSMMUP00000014415.3,NA,NA
ENSMMUP00000032611.2,NA,NA
ENSMMUP00000049615.1,NA,NA
ENSMMUP00000040663.2,NA,NA
ENSMMUP00000036509.2,NA,NA
ENSMMUP00000054652.1,NA,NA
ENSMMUP00000006543.3,NA,NA
ENSMMUP00000058402.1,NA,NA
ENSMMUP00000046301.1,NA,NA
ENSMMUP00000027268.3,NA,NA
ENSMMUP00000012757.3,NA,NA
ENSMMUP00000006096.1,NA,NA
ENSMMUP00000023287.3,NA,NA
ENSMMUP00000011856.3,NA,NA
ENSMMUP00000000384.3,NA,NA
ENSMMUP00000045202.1,NA,NA
ENSMMUP00000056128.1,NA,NA
ENSMMUP00000057777.1,NA,NA
ENSMMUP00000030829.3,NA,NA
ENSMMUP00000013487.3,NA,NA
ENSMMUP00000047687.1,NA,NA
ENSMMUP00000042192.1,NA,NA
ENSMMUP00000030547.2,NA,NA
ENSMMUP00000056517.1,NA,NA
ENSMMUP00000015974.3,NA,NA
ENSMMUP00000048889.1,NA,NA
ENSMMUP00000001717.3,NA,NA
ENSMMUP00000054204.1,NA,NA
ENSMMUP00000044039.1,NA,NA
ENSMMUP00000026525.3,NA,NA
ENSMMUP00000029014.2,NA,NA
ENSMMUP00000049483.1,NA,NA
ENSMMUP00000008699.3,NA,NA
ENSMMUP00000033423.1,NA,NA
ENSMMUP00000050848.1,NA,NA
ENSMMUP00000008759.3,NA,NA
ENSMMUP00000006484.3,NA,NA
ENSMMUP00000040809.1,NA,NA
ENSMMUP00000040185.2,NA,NA
ENSMMUP00000026587.3,NA,NA
ENSMMUP00000004563.3,NA,NA
ENSMMUP00000049736.1,NA,NA
ENSMMUP00000031910.2,NA,NA
ENSMMUP00000052161.1,NA,NA
ENSMMUP00000000225.3,NA,NA
ENSMMUP00000021391.3,NA,NA
ENSMMUP00000002837.2,NA,NA
ENSMMUP00000059527.1,NA,NA
ENSMMUP00000021087.2,NA,NA
ENSMMUP00000051767.1,NA,NA
ENSMMUP00000056893.1,NA,NA
ENSMMUP00000015521.3,NA,NA
ENSMMUP00000019490.3,NA,NA
ENSMMUP00000054847.1,NA,NA
ENSMMUP00000052572.1,NA,NA
ENSMMUP00000057139.1,NA,NA
ENSMMUP00000033103.2,NA,NA
ENSMMUP00000011880.3,NA,NA
ENSMMUP00000043841.1,NA,NA
ENSMMUP00000012162.2,NA,NA
ENSMMUP00000052787.1,NA,NA
ENSMMUP00000028911.3,NA,NA
ENSMMUP00000050171.1,<DUP>,chr10:2423122:<DUP>:613:666.46
ENSMMUP00000046261.1,NA,NA
ENSMMUP00000039413.2,NA,NA
ENSMMUP00000042349.1,NA,NA
ENSMMUP00000061004.1,NA,NA
ENSMMUP00000051053.1,NA,NA
ENSMMUP00000028171.3,NA,NA
ENSMMUP00000052635.1,NA,NA
ENSMMUP00000054736.1,NA,NA
ENSMMUP00000040210.2,NA,NA
ENSMMUP00000024304.3,NA,NA
ENSMMUP00000018799.1,NA,NA
ENSMMUP00000019358.3,NA,NA
ENSMMUP00000016770.3,NA,NA
ENSMMUP00000054399.1,NA,NA
ENSMMUP00000031065.3,NA,NA
ENSMMUP00000056330.1,NA,NA
ENSMMUP00000007577.3,NA,NA
ENSMMUP00000011170.3,NA,NA
ENSMMUP00000056701.1,NA,NA
ENSMMUP00000041768.1,NA,NA
ENSMMUP00000021753.3,NA,NA
ENSMMUP00000051061.1,NA,NA
ENSMMUP00000024501.1,NA,NA
ENSMMUP00000014740.3,NA,NA
ENSMMUP00000007501.2,NA,NA
ENSMMUP00000049236.1,NA,NA
ENSMMUP00000053296.1,NA,NA
ENSMMUP00000059820.1,NA,NA
ENSMMUP00000012857.3,NA,NA
ENSMMUP00000046737.1,NA,NA
ENSMMUP00000001424.3,NA,NA
ENSMMUP00000053531.1,NA,NA
ENSMMUP00000004066.3,NA,NA
ENSMMUP00000025429.2,NA,NA
ENSMMUP00000030131.3,NA,NA
ENSMMUP00000014520.2,NA,NA
ENSMMUP00000010724.3,NA,NA
ENSMMUP00000016815.3,NA,NA
ENSMMUP00000050435.1,<DUP>,chr8:7177655:<DUP>:83153:4156.71
ENSMMUP00000043051.1,NA,NA
ENSMMUP00000045313.1,NA,NA
ENSMMUP00000013102.3,NA,NA
ENSMMUP00000053687.1,NA,NA
ENSMMUP00000024087.3,NA,NA
ENSMMUP00000054988.1,NA,NA
ENSMMUP00000041693.1,NA,NA
ENSMMUP00000012735.3,NA,NA
ENSMMUP00000017266.3,NA,NA
ENSMMUP00000052095.1,NA,NA
ENSMMUP00000053028.1,NA,NA
ENSMMUP00000025295.3,NA,NA
ENSMMUP00000006474.3,NA,NA
ENSMMUP00000012195.3,NA,NA
ENSMMUP00000029105.3,NA,NA
ENSMMUP00000003635.3,NA,NA
ENSMMUP00000019386.1,NA,NA
ENSMMUP00000043300.1,NA,NA
ENSMMUP00000054563.1,NA,NA
ENSMMUP00000004695.3,NA,NA
ENSMMUP00000018791.2,NA,NA
ENSMMUP00000042413.1,NA,NA
ENSMMUP00000042047.1,NA,NA
ENSMMUP00000006879.3,NA,NA
ENSMMUP00000026108.3,NA,NA
ENSMMUP00000046045.1,NA,NA
ENSMMUP00000034251.2,NA,NA
ENSMMUP00000055605.1,NA,NA
ENSMMUP00000042664.1,NA,NA
ENSMMUP00000005602.2,NA,NA
ENSMMUP00000008230.3,NA,NA
ENSMMUP00000026254.2,NA,NA
ENSMMUP00000018698.2,NA,NA
ENSMMUP00000024480.3,NA,NA
ENSMMUP00000002430.3,NA,NA
ENSMMUP00000046138.1,NA,NA
ENSMMUP00000057741.1,NA,NA
ENSMMUP00000024467.3,NA,NA
ENSMMUP00000060015.1,NA,NA
ENSMMUP00000019485.3,NA,NA
ENSMMUP00000022614.2,NA,NA
ENSMMUP00000008791.3,NA,NA
ENSMMUP00000056234.1,NA,NA
ENSMMUP00000008444.3,NA,NA
ENSMMUP00000012076.2,NA,NA
ENSMMUP00000023997.3,NA,NA
ENSMMUP00000058065.1,NA,NA
ENSMMUP00000029714.3,NA,NA
ENSMMUP00000026455.3,NA,NA
ENSMMUP00000047790.1,NA,NA
ENSMMUP00000018144.3,NA,NA
ENSMMUP00000034814.2,NA,NA
ENSMMUP00000026565.3,NA,NA
ENSMMUP00000042502.1,NA,NA
ENSMMUP00000002092.3,NA,NA
ENSMMUP00000028214.3,NA,NA
ENSMMUP00000026842.3,NA,NA
ENSMMUP00000004983.3,NA,NA
ENSMMUP00000036852.2,NA,NA
ENSMMUP00000015857.3,NA,NA
ENSMMUP00000021891.3,NA,NA
ENSMMUP00000051783.1,NA,NA
ENSMMUP00000033385.2,NA,NA
ENSMMUP00000051692.1,NA,NA
ENSMMUP00000052202.1,NA,NA
ENSMMUP00000034935.2,NA,NA
ENSMMUP00000058802.1,NA,NA
ENSMMUP00000049594.1,NA,NA
ENSMMUP00000002857.3,NA,NA
ENSMMUP00000021951.3,NA,NA
ENSMMUP00000048148.1,NA,NA
ENSMMUP00000009753.2,<DEL>,chr10:63971191:<DEL>:95175:1867.73
ENSMMUP00000000135.2,NA,NA
ENSMMUP00000036243.2,NA,NA
ENSMMUP00000004316.3,NA,NA
ENSMMUP00000003129.3,NA,NA
ENSMMUP00000007237.3,NA,NA
ENSMMUP00000008960.2,NA,NA
ENSMMUP00000014892.3,NA,NA
ENSMMUP00000035849.2,NA,NA
ENSMMUP00000004386.3,NA,NA
ENSMMUP00000048661.1,NA,NA
ENSMMUP00000008765.3,NA,NA
ENSMMUP00000034124.2,NA,NA
ENSMMUP00000011294.3,NA,NA
ENSMMUP00000059509.1,NA,NA
ENSMMUP00000003938.2,NA,NA
ENSMMUP00000008301.1,NA,NA
ENSMMUP00000035385.2,NA,NA
ENSMMUP00000011685.2,NA,NA
ENSMMUP00000008550.2,NA,NA
ENSMMUP00000004207.2,NA,NA
ENSMMUP00000015777.3,NA,NA
ENSMMUP00000005713.3,NA,NA
ENSMMUP00000003035.3,NA,NA
ENSMMUP00000054690.1,NA,NA
ENSMMUP00000043681.1,NA,NA
ENSMMUP00000044886.1,NA,NA
ENSMMUP00000046634.1,NA,NA
ENSMMUP00000012581.2,NA,NA
ENSMMUP00000003945.2,NA,NA
ENSMMUP00000041985.1,NA,NA
ENSMMUP00000036140.1,NA,NA
ENSMMUP00000014992.3,NA,NA
ENSMMUP00000023142.3,NA,NA
ENSMMUP00000034172.2,NA,NA
ENSMMUP00000045671.1,NA,NA
ENSMMUP00000025694.3,NA,NA
ENSMMUP00000031808.2,NA,NA
ENSMMUP00000043327.1,NA,NA
ENSMMUP00000042805.1,NA,NA
ENSMMUP00000027329.3,NA,NA
ENSMMUP00000051049.1,NA,NA
ENSMMUP00000008877.3,NA,NA
ENSMMUP00000011269.3,NA,NA
ENSMMUP00000034263.2,NA,NA
ENSMMUP00000026685.2,NA,NA
ENSMMUP00000028787.2,NA,NA
ENSMMUP00000046956.1,NA,NA
ENSMMUP00000030145.3,NA,NA
ENSMMUP00000044639.1,NA,NA
ENSMMUP00000002824.2,NA,NA
ENSMMUP00000053996.1,NA,NA
ENSMMUP00000005532.3,NA,NA
ENSMMUP00000045843.1,NA,NA
ENSMMUP00000045367.1,NA,NA
ENSMMUP00000042220.1,NA,NA
ENSMMUP00000006441.2,NA,NA
ENSMMUP00000003121.3,NA,NA
ENSMMUP00000048065.1,NA,NA
ENSMMUP00000030246.2,NA,NA
ENSMMUP00000026770.2,NA,NA
ENSMMUP00000049017.1,NA,NA
ENSMMUP00000054497.1,NA,NA
ENSMMUP00000003844.2,NA,NA
ENSMMUP00000024712.2,NA,NA
ENSMMUP00000027387.2,NA,NA
ENSMMUP00000008154.2,NA,NA
ENSMMUP00000010459.3,NA,NA
ENSMMUP00000007620.2,NA,NA
ENSMMUP00000018079.2,NA,NA
ENSMMUP00000031853.2,NA,NA
ENSMMUP00000021698.1,NA,NA
ENSMMUP00000041877.1,NA,NA
ENSMMUP00000043475.1,NA,NA
ENSMMUP00000017012.2,NA,NA
ENSMMUP00000047399.1,NA,NA
ENSMMUP00000055634.1,NA,NA
ENSMMUP00000051014.1,NA,NA
ENSMMUP00000005696.2,NA,NA
ENSMMUP00000047259.1,NA,NA
ENSMMUP00000020902.2,NA,NA
ENSMMUP00000045675.1,NA,NA
ENSMMUP00000024650.3,NA,NA
ENSMMUP00000045004.1,NA,NA
ENSMMUP00000057660.1,NA,NA
ENSMMUP00000029520.3,NA,NA
ENSMMUP00000027397.3,NA,NA
ENSMMUP00000049116.1,NA,NA
ENSMMUP00000025642.3,NA,NA
ENSMMUP00000000203.2,NA,NA
ENSMMUP00000021837.3,NA,NA
ENSMMUP00000054936.1,NA,NA
ENSMMUP00000025305.1,NA,NA
ENSMMUP00000018980.3,NA,NA
ENSMMUP00000055728.1,NA,NA
ENSMMUP00000024875.3,NA,NA
ENSMMUP00000016638.3,NA,NA
ENSMMUP00000043469.1,NA,NA
ENSMMUP00000060097.1,NA,NA
ENSMMUP00000017721.2,NA,NA
ENSMMUP00000010419.3,NA,NA
ENSMMUP00000042484.1,NA,NA
ENSMMUP00000018358.2,NA,NA
ENSMMUP00000028362.3,NA,NA
ENSMMUP00000059709.1,NA,NA
ENSMMUP00000029530.2,NA,NA
ENSMMUP00000041398.1,NA,NA
ENSMMUP00000049252.1,NA,NA
ENSMMUP00000007615.3,NA,NA
ENSMMUP00000023192.2,NA,NA
ENSMMUP00000006261.2,NA,NA
ENSMMUP00000004593.3,NA,NA
ENSMMUP00000001432.3,NA,NA
ENSMMUP00000015139.2,NA,NA
ENSMMUP00000051537.1,NA,NA
ENSMMUP00000060281.1,NA,NA
ENSMMUP00000012271.3,NA,NA
ENSMMUP00000033920.2,NA,NA
ENSMMUP00000021980.2,NA,NA
ENSMMUP00000025136.3,NA,NA
ENSMMUP00000022180.3,NA,NA
ENSMMUP00000013077.3,NA,NA
ENSMMUP00000013896.1,NA,NA
ENSMMUP00000042790.1,NA,NA
ENSMMUP00000027669.2,NA,NA
ENSMMUP00000041766.1,NA,NA
ENSMMUP00000044260.1,NA,NA
ENSMMUP00000016726.3,NA,NA
ENSMMUP00000037046.2,NA,NA
ENSMMUP00000035590.2,NA,NA
ENSMMUP00000026109.3,NA,NA
ENSMMUP00000053088.1,NA,NA
ENSMMUP00000002593.2,NA,NA
ENSMMUP00000010254.3,NA,NA
ENSMMUP00000012109.1,NA,NA
ENSMMUP00000051420.1,NA,NA
ENSMMUP00000052537.1,NA,NA
ENSMMUP00000029841.3,NA,NA
ENSMMUP00000027451.3,NA,NA
ENSMMUP00000018627.3,NA,NA
ENSMMUP00000011423.3,NA,NA
ENSMMUP00000043172.1,NA,NA
ENSMMUP00000012823.3,NA,NA
ENSMMUP00000050470.1,NA,NA
ENSMMUP00000027846.2,NA,NA
ENSMMUP00000055162.1,NA,NA
ENSMMUP00000050935.1,NA,NA
ENSMMUP00000021108.3,NA,NA
ENSMMUP00000006735.2,NA,NA
ENSMMUP00000008664.2,NA,NA
ENSMMUP00000043877.1,NA,NA
ENSMMUP00000030037.1,NA,NA
ENSMMUP00000057454.1,NA,NA
ENSMMUP00000031369.1,NA,NA
ENSMMUP00000054720.1,NA,NA
ENSMMUP00000009848.2,NA,NA
ENSMMUP00000026322.3,NA,NA
ENSMMUP00000000916.3,NA,NA
ENSMMUP00000019222.3,NA,NA
ENSMMUP00000046019.1,NA,NA
ENSMMUP00000021380.3,NA,NA
ENSMMUP00000047279.1,NA,NA
ENSMMUP00000054052.1,NA,NA
ENSMMUP00000049516.1,NA,NA
ENSMMUP00000015110.3,NA,NA
ENSMMUP00000028378.2,NA,NA
ENSMMUP00000001179.2,NA,NA
ENSMMUP00000031291.3,NA,NA
ENSMMUP00000051830.1,NA,NA
ENSMMUP00000010779.3,NA,NA
ENSMMUP00000032032.2,NA,NA
ENSMMUP00000045579.1,NA,NA
ENSMMUP00000035277.1,NA,NA
ENSMMUP00000024523.2,NA,NA
ENSMMUP00000053323.1,NA,NA
ENSMMUP00000014346.2,NA,NA
ENSMMUP00000027862.3,NA,NA
ENSMMUP00000053479.1,NA,NA
ENSMMUP00000005783.3,NA,NA
ENSMMUP00000006593.2,NA,NA
ENSMMUP00000021887.3,NA,NA
ENSMMUP00000021555.2,NA,NA
ENSMMUP00000055486.1,NA,NA
ENSMMUP00000049422.1,NA,NA
ENSMMUP00000049977.1,NA,NA
ENSMMUP00000013026.3,NA,NA
ENSMMUP00000042218.1,NA,NA
ENSMMUP00000032008.2,NA,NA
ENSMMUP00000058499.1,NA,NA
ENSMMUP00000037933.1,NA,NA
ENSMMUP00000003679.2,NA,NA
ENSMMUP00000039033.1,NA,NA
ENSMMUP00000018080.2,NA,NA
ENSMMUP00000052597.1,NA,NA
ENSMMUP00000030800.1,NA,NA
ENSMMUP00000025209.3,NA,NA
ENSMMUP00000041043.2,NA,NA
ENSMMUP00000031580.2,NA,NA
ENSMMUP00000027182.1,NA,NA
ENSMMUP00000028323.3,NA,NA
ENSMMUP00000039249.2,NA,NA
ENSMMUP00000023631.2,NA,NA
ENSMMUP00000054928.1,NA,NA
ENSMMUP00000000462.2,NA,NA
ENSMMUP00000006938.3,NA,NA
ENSMMUP00000022049.3,NA,NA
ENSMMUP00000008224.2,NA,NA
ENSMMUP00000047206.1,NA,NA
ENSMMUP00000047070.1,NA,NA
ENSMMUP00000041843.1,NA,NA
ENSMMUP00000017092.3,NA,NA
ENSMMUP00000007748.3,NA,NA
ENSMMUP00000042878.1,NA,NA
ENSMMUP00000015783.3,NA,NA
ENSMMUP00000049841.1,NA,NA
ENSMMUP00000057648.1,NA,NA
ENSMMUP00000048403.1,NA,NA
ENSMMUP00000047566.1,NA,NA
ENSMMUP00000053272.1,NA,NA
ENSMMUP00000003736.2,NA,NA
ENSMMUP00000024472.3,NA,NA
ENSMMUP00000014709.3,NA,NA
ENSMMUP00000023807.3,NA,NA
ENSMMUP00000044829.1,NA,NA
ENSMMUP00000056212.1,NA,NA
ENSMMUP00000037672.2,NA,NA
ENSMMUP00000054793.1,NA,NA
ENSMMUP00000006022.3,NA,NA
ENSMMUP00000001338.3,NA,NA
ENSMMUP00000029217.3,NA,NA
ENSMMUP00000032163.2,NA,NA
ENSMMUP00000048780.1,NA,NA
ENSMMUP00000047265.1,NA,NA
ENSMMUP00000005672.3,NA,NA
ENSMMUP00000007884.3,NA,NA
ENSMMUP00000043313.1,NA,NA
ENSMMUP00000028716.3,NA,NA
ENSMMUP00000043998.1,NA,NA
ENSMMUP00000048949.1,NA,NA
ENSMMUP00000035756.2,NA,NA
ENSMMUP00000027389.2,NA,NA
ENSMMUP00000002777.3,NA,NA
ENSMMUP00000037780.2,NA,NA
ENSMMUP00000055438.1,NA,NA
ENSMMUP00000029184.2,NA,NA
ENSMMUP00000054717.1,NA,NA
ENSMMUP00000055043.1,NA,NA
ENSMMUP00000025679.3,NA,NA
ENSMMUP00000026616.2,NA,NA
ENSMMUP00000017445.3,NA,NA
ENSMMUP00000060599.1,NA,NA
ENSMMUP00000005994.2,NA,NA
ENSMMUP00000036015.2,NA,NA
ENSMMUP00000059300.1,NA,NA
ENSMMUP00000054159.1,NA,NA
ENSMMUP00000022452.3,NA,NA
ENSMMUP00000054070.1,NA,NA
ENSMMUP00000033404.2,NA,NA
ENSMMUP00000023020.2,NA,NA
ENSMMUP00000043637.1,NA,NA
ENSMMUP00000048125.1,NA,NA
ENSMMUP00000015554.2,NA,NA
ENSMMUP00000032942.2,NA,NA
ENSMMUP00000015692.3,NA,NA
ENSMMUP00000005748.3,NA,NA
ENSMMUP00000028772.1,NA,NA
ENSMMUP00000002343.2,NA,NA
ENSMMUP00000015562.2,NA,NA
ENSMMUP00000060252.1,NA,NA
ENSMMUP00000055478.1,NA,NA
ENSMMUP00000040717.2,NA,NA
ENSMMUP00000002334.3,NA,NA
ENSMMUP00000045941.1,NA,NA
ENSMMUP00000030347.3,NA,NA
ENSMMUP00000009621.2,NA,NA
ENSMMUP00000005974.3,NA,NA
ENSMMUP00000017544.2,NA,NA
ENSMMUP00000013400.2,NA,NA
ENSMMUP00000041819.1,NA,NA
ENSMMUP00000020256.3,NA,NA
ENSMMUP00000009957.3,NA,NA
ENSMMUP00000013408.3,NA,NA
ENSMMUP00000009586.2,NA,NA
ENSMMUP00000021793.2,NA,NA
ENSMMUP00000007427.3,NA,NA
ENSMMUP00000055363.1,NA,NA
ENSMMUP00000003653.3,NA,NA
ENSMMUP00000025138.2,NA,NA
ENSMMUP00000029583.2,NA,NA
ENSMMUP00000010555.2,NA,NA
ENSMMUP00000021280.2,NA,NA
ENSMMUP00000016185.2,NA,NA
ENSMMUP00000043086.1,NA,NA
ENSMMUP00000030972.3,NA,NA
ENSMMUP00000004901.3,NA,NA
ENSMMUP00000029265.1,NA,NA
ENSMMUP00000058870.1,NA,NA
ENSMMUP00000060863.1,NA,NA
ENSMMUP00000012615.2,NA,NA
ENSMMUP00000059182.1,NA,NA
ENSMMUP00000022382.2,NA,NA
ENSMMUP00000014033.3,NA,NA
ENSMMUP00000054323.1,NA,NA
ENSMMUP00000020224.2,NA,NA
ENSMMUP00000001058.3,NA,NA
ENSMMUP00000005145.3,NA,NA
ENSMMUP00000006006.2,NA,NA
ENSMMUP00000019092.2,NA,NA
ENSMMUP00000001633.3,NA,NA
ENSMMUP00000001145.1,NA,NA
ENSMMUP00000040753.2,NA,NA
ENSMMUP00000032892.2,NA,NA
ENSMMUP00000001412.3,NA,NA
ENSMMUP00000048651.1,NA,NA
ENSMMUP00000025647.3,NA,NA
ENSMMUP00000023897.3,NA,NA
ENSMMUP00000058697.1,NA,NA
ENSMMUP00000015870.3,NA,NA
ENSMMUP00000046033.1,NA,NA
ENSMMUP00000004430.2,NA,NA
ENSMMUP00000015726.3,NA,NA
ENSMMUP00000018573.3,NA,NA
ENSMMUP00000008625.2,NA,NA
ENSMMUP00000047277.1,NA,NA
ENSMMUP00000025551.1,NA,NA
ENSMMUP00000007283.2,NA,NA
ENSMMUP00000052877.1,NA,NA
ENSMMUP00000012554.3,NA,NA
ENSMMUP00000033632.1,NA,NA
ENSMMUP00000016966.3,NA,NA
ENSMMUP00000051269.1,NA,NA
ENSMMUP00000026473.1,NA,NA
ENSMMUP00000022241.3,NA,NA
ENSMMUP00000060840.1,NA,NA
ENSMMUP00000059041.1,NA,NA
ENSMMUP00000004942.3,NA,NA
ENSMMUP00000056311.1,NA,NA
ENSMMUP00000029318.3,NA,NA
ENSMMUP00000039026.2,NA,NA
ENSMMUP00000058710.1,NA,NA
ENSMMUP00000023910.3,NA,NA
ENSMMUP00000000860.3,NA,NA
ENSMMUP00000025663.2,NA,NA
ENSMMUP00000021304.3,NA,NA
ENSMMUP00000032016.2,NA,NA
ENSMMUP00000060129.1,NA,NA
ENSMMUP00000031656.2,NA,NA
ENSMMUP00000042511.1,NA,NA
ENSMMUP00000028143.2,NA,NA
ENSMMUP00000058687.1,NA,NA
ENSMMUP00000025081.3,NA,NA
ENSMMUP00000025452.2,NA,NA
ENSMMUP00000034779.1,NA,NA
ENSMMUP00000040216.2,NA,NA
ENSMMUP00000017088.3,NA,NA
ENSMMUP00000028601.3,NA,NA
ENSMMUP00000022021.3,NA,NA
ENSMMUP00000024069.3,NA,NA
ENSMMUP00000051239.1,NA,NA
ENSMMUP00000056839.1,NA,NA
ENSMMUP00000057473.1,NA,NA
ENSMMUP00000002565.2,NA,NA
ENSMMUP00000048149.1,NA,NA
ENSMMUP00000015435.3,NA,NA
ENSMMUP00000051677.1,NA,NA
ENSMMUP00000056831.1,<DEL>,chr10:64029922:<DEL>:95076:2663.39
ENSMMUP00000056568.1,NA,NA
ENSMMUP00000042989.1,NA,NA
ENSMMUP00000026008.3,NA,NA
ENSMMUP00000057656.1,NA,NA
ENSMMUP00000011581.3,NA,NA
ENSMMUP00000002656.3,NA,NA
ENSMMUP00000059727.1,NA,NA
ENSMMUP00000026447.3,NA,NA
ENSMMUP00000022527.3,NA,NA
ENSMMUP00000025207.2,NA,NA
ENSMMUP00000053787.1,NA,NA
ENSMMUP00000043714.1,NA,NA
ENSMMUP00000024187.3,NA,NA
ENSMMUP00000000139.3,NA,NA
ENSMMUP00000004514.2,NA,NA
ENSMMUP00000040481.2,NA,NA
ENSMMUP00000007041.2,NA,NA
ENSMMUP00000053075.1,NA,NA
ENSMMUP00000006794.1,NA,NA
ENSMMUP00000060316.1,NA,NA
ENSMMUP00000007985.2,NA,NA
ENSMMUP00000001515.3,NA,NA
ENSMMUP00000030476.2,NA,NA
ENSMMUP00000052069.1,NA,NA
ENSMMUP00000020479.3,NA,NA
ENSMMUP00000058379.1,NA,NA
ENSMMUP00000036972.2,NA,NA
ENSMMUP00000048483.1,NA,NA
ENSMMUP00000028718.2,NA,NA
ENSMMUP00000044512.1,NA,NA
ENSMMUP00000042301.1,NA,NA
ENSMMUP00000002638.1,NA,NA
ENSMMUP00000011670.2,NA,NA
ENSMMUP00000009956.2,NA,NA
ENSMMUP00000041469.1,NA,NA
ENSMMUP00000025328.3,NA,NA
ENSMMUP00000010171.3,NA,NA
ENSMMUP00000038782.2,NA,NA
ENSMMUP00000059215.1,NA,NA
ENSMMUP00000009285.2,NA,NA
ENSMMUP00000055436.1,NA,NA
ENSMMUP00000047133.1,NA,NA
ENSMMUP00000032522.2,NA,NA
ENSMMUP00000044751.1,NA,NA
ENSMMUP00000031402.2,NA,NA
ENSMMUP00000010498.3,NA,NA
ENSMMUP00000005500.2,NA,NA
ENSMMUP00000003229.3,NA,NA
ENSMMUP00000007570.3,NA,NA
ENSMMUP00000051121.1,NA,NA
ENSMMUP00000040875.1,NA,NA
ENSMMUP00000026241.2,NA,NA
ENSMMUP00000043118.1,NA,NA
ENSMMUP00000011438.2,NA,NA
ENSMMUP00000014158.3,NA,NA
ENSMMUP00000049358.1,NA,NA
ENSMMUP00000026517.2,NA,NA
ENSMMUP00000020125.3,NA,NA
ENSMMUP00000003342.2,NA,NA
ENSMMUP00000002539.3,NA,NA
ENSMMUP00000038923.2,NA,NA
ENSMMUP00000050525.1,<DEL>,chr10:64029922:<DEL>:95076:2663.39
ENSMMUP00000007002.3,NA,NA
ENSMMUP00000050110.1,NA,NA
ENSMMUP00000056582.1,NA,NA
ENSMMUP00000029860.3,NA,NA
ENSMMUP00000024283.1,NA,NA
ENSMMUP00000008494.3,NA,NA
ENSMMUP00000013093.3,NA,NA
ENSMMUP00000053286.1,NA,NA
ENSMMUP00000000842.3,NA,NA
ENSMMUP00000046919.1,NA,NA
ENSMMUP00000011378.3,NA,NA
ENSMMUP00000001250.3,NA,NA
ENSMMUP00000000481.2,NA,NA
ENSMMUP00000007453.3,NA,NA
ENSMMUP00000048820.1,NA,NA
ENSMMUP00000055984.1,NA,NA
ENSMMUP00000007705.3,NA,NA
ENSMMUP00000056897.1,NA,NA
ENSMMUP00000048145.1,NA,NA
ENSMMUP00000044357.1,NA,NA
ENSMMUP00000025987.2,NA,NA
ENSMMUP00000024245.2,NA,NA
ENSMMUP00000000022.2,NA,NA
ENSMMUP00000001210.2,NA,NA
ENSMMUP00000052725.1,NA,NA
ENSMMUP00000049822.1,NA,NA
ENSMMUP00000010921.2,NA,NA
ENSMMUP00000046344.1,NA,NA
ENSMMUP00000044303.1,NA,NA
ENSMMUP00000017846.3,NA,NA
ENSMMUP00000040622.2,NA,NA
ENSMMUP00000022081.3,NA,NA
ENSMMUP00000054157.1,NA,NA
ENSMMUP00000033787.2,NA,NA
ENSMMUP00000017431.3,NA,NA
ENSMMUP00000040471.2,NA,NA
ENSMMUP00000007898.3,NA,NA
ENSMMUP00000030245.3,NA,NA
ENSMMUP00000025716.2,NA,NA
ENSMMUP00000006512.1,NA,NA
ENSMMUP00000057018.1,NA,NA
ENSMMUP00000005157.3,NA,NA
ENSMMUP00000012695.3,NA,NA
ENSMMUP00000032227.1,NA,NA
ENSMMUP00000014494.2,NA,NA
ENSMMUP00000018943.2,NA,NA
ENSMMUP00000058790.1,NA,NA
ENSMMUP00000038871.1,NA,NA
ENSMMUP00000043982.1,NA,NA
ENSMMUP00000015356.2,NA,NA
ENSMMUP00000034471.2,NA,NA
ENSMMUP00000013692.2,NA,NA
ENSMMUP00000058582.1,NA,NA
ENSMMUP00000016799.3,NA,NA
ENSMMUP00000046324.1,NA,NA
ENSMMUP00000014388.3,NA,NA
ENSMMUP00000033662.2,NA,NA
